Date,Amount,Expense_Type,Category,Description
04-09-2023,4732,Income,Savings & Investments,Payment for Fixed Deposits
01-09-2024,533,Expense,Savings & Investments,Payment for Stocks
12-08-2023,3962,Expense,Savings & Investments,Payment for Fixed Deposits
07-06-2024,407,Expense,Education,Payment for Books
15-10-2023,4530,Expense,Entertainment,Payment for Concerts
19-05-2023,303,Expense,Healthcare,Payment for Medicines
23-12-2024,4044,Income,Personal Care,Payment for Cosmetics
03-04-2024,884,Expense,Savings & Investments,Payment for Stocks
31-01-2025,1240,Expense,Dining Out,Payment for Takeaway
25-12-2024,1753,Expense,Dining Out,Payment for Takeaway
30-03-2023,4941,Income,Education,Payment for Stationery
28-08-2025,4614,Income,Entertainment,Payment for Streaming Services
30-10-2023,542,Income,Groceries,Payment for Vegetables
15-11-2024,3459,Expense,Savings & Investments,Payment for Fixed Deposits
23-03-2025,4196,Expense,Entertainment,Payment for Streaming Services
02-02-2023,3177,Expense,Entertainment,Payment for Concerts
29-09-2022,2170,Expense,Transportation,Payment for Car Maintenance
17-10-2022,3915,Expense,Personal Care,Payment for Gym Membership
04-05-2024,101,Expense,Travel,Payment for Flights
28-12-2023,311,Expense,Savings & Investments,Payment for Mutual Funds
12-05-2025,3052,Expense,Transportation,Payment for Taxi
17-12-2023,1958,Expense,Travel,Payment for Local Transport
22-05-2024,3696,Expense,Groceries,Payment for Vegetables
09-01-2023,2427,Expense,Personal Care,Payment for Salon
12-06-2025,3444,Expense,Entertainment,Payment for Movies
01-03-2024,4386,Expense,Healthcare,Payment for Health Insurance
03-02-2025,1675,Income,Groceries,Payment for Dairy
21-03-2023,1278,Income,Education,Payment for Courses
29-06-2025,4436,Income,Debt Payments,Payment for Loans
03-12-2023,1439,Expense,Education,Payment for Books
24-09-2024,1537,Income,Education,Payment for Tuition
25-01-2025,966,Income,Utilities,Payment for Phone
14-06-2025,2191,Income,Savings & Investments,Payment for Fixed Deposits
28-06-2024,760,Expense,Insurance,Payment for Home Insurance
22-11-2023,1936,Expense,Personal Care,Payment for Salon
14-05-2024,2266,Expense,Debt Payments,Payment for EMI
26-01-2024,1370,Income,Entertainment,Payment for Games
14-11-2023,2613,Income,Savings & Investments,Payment for Stocks
21-04-2025,4495,Expense,Entertainment,Payment for Games
26-08-2023,4881,Expense,Personal Care,Payment for Gym Membership
14-07-2024,2676,Income,Debt Payments,Payment for EMI
08-11-2022,450,Income,Transportation,Payment for Fuel
14-05-2025,800,Expense,Insurance,Payment for Vehicle Insurance
11-01-2023,4966,Expense,Education,Payment for Books
18-04-2023,1937,Income,Transportation,Payment for Taxi
22-12-2023,3735,Income,Transportation,Payment for Taxi
26-03-2025,1468,Expense,Education,Payment for Books
26-04-2023,2653,Expense,Clothing,Payment for Accessories
13-04-2024,3821,Expense,Debt Payments,Payment for Loans
10-09-2024,2068,Expense,Savings & Investments,Payment for Mutual Funds
07-11-2024,2086,Expense,Miscellaneous,Payment for Unexpected Expenses
26-12-2023,1695,Expense,Entertainment,Payment for Streaming Services
26-07-2024,3537,Expense,Utilities,Payment for Water
18-06-2024,863,Expense,Travel,Payment for Flights
20-10-2023,4783,Income,Education,Payment for Books
21-07-2023,3219,Expense,Travel,Payment for Sightseeing
13-06-2023,1073,Expense,Healthcare,Payment for Health Insurance
23-06-2023,1559,Income,Education,Payment for Courses
21-11-2023,2088,Expense,Savings & Investments,Payment for Fixed Deposits
21-05-2023,1443,Expense,Dining Out,Payment for Takeaway
10-06-2025,2396,Expense,Dining Out,Payment for Takeaway
24-04-2024,905,Expense,Miscellaneous,Payment for Gifts
16-11-2022,1216,Expense,Groceries,Payment for Dairy
09-05-2023,2804,Income,Clothing,Payment for Casual Wear
06-04-2025,1715,Expense,Education,Payment for Tuition
02-07-2023,4088,Expense,Entertainment,Payment for Movies
22-11-2023,2022,Income,Clothing,Payment for Accessories
31-05-2024,3737,Income,Miscellaneous,Payment for Unexpected Expenses
08-10-2023,1166,Expense,Travel,Payment for Flights
10-12-2022,3418,Income,Savings & Investments,Payment for Fixed Deposits
17-08-2025,4592,Expense,Entertainment,Payment for Games
11-04-2023,783,Income,Personal Care,Payment for Salon
22-01-2025,3833,Income,Clothing,Payment for Formal Wear
28-08-2025,2971,Expense,Housing,Payment for Mortgage
19-09-2025,3379,Income,Savings & Investments,Payment for Stocks
21-10-2022,4667,Expense,Housing,Payment for Property Tax
23-09-2023,1756,Expense,Groceries,Payment for Fruits
10-04-2024,3548,Income,Savings & Investments,Payment for Stocks
31-07-2024,1174,Income,Clothing,Payment for Casual Wear
07-08-2024,4767,Expense,Housing,Payment for Mortgage
12-12-2023,4904,Income,Housing,Payment for Rent
18-04-2025,1908,Expense,Healthcare,Payment for Doctor
05-10-2022,2341,Expense,Dining Out,Payment for Cafes
23-11-2023,2563,Income,Utilities,Payment for Phone
08-01-2025,3565,Expense,Transportation,Payment for Car Maintenance
09-04-2024,2050,Income,Miscellaneous,Payment for Gifts
30-03-2025,1847,Income,Education,Payment for Courses
01-07-2025,2366,Income,Miscellaneous,Payment for Donations
01-02-2023,2630,Expense,Housing,Payment for Rent
28-10-2023,2064,Expense,Miscellaneous,Payment for Gifts
23-12-2024,2217,Expense,Transportation,Payment for Fuel
25-02-2025,3078,Expense,Transportation,Payment for Taxi
26-04-2024,1997,Income,Clothing,Payment for Casual Wear
19-08-2023,1193,Expense,Clothing,Payment for Formal Wear
15-04-2025,4855,Expense,Education,Payment for Tuition
08-01-2025,4281,Expense,Dining Out,Payment for Restaurants
18-08-2025,3198,Income,Debt Payments,Payment for Credit Card
12-01-2025,985,Income,Personal Care,Payment for Cosmetics
11-04-2025,3207,Expense,Transportation,Payment for Public Transport
15-12-2023,50,Expense,Personal Care,Payment for Salon
12-12-2022,126,Expense,Dining Out,Payment for Restaurants
07-04-2024,2678,Expense,Miscellaneous,Payment for Gifts
26-09-2023,2245,Expense,Groceries,Payment for Dairy
20-12-2023,623,Expense,Utilities,Payment for Phone
17-06-2023,1598,Expense,Education,Payment for Courses
31-01-2023,235,Expense,Healthcare,Payment for Doctor Visits
27-03-2025,4667,Expense,Dining Out,Payment for Takeaway
31-05-2023,3892,Expense,Miscellaneous,Payment for Gifts
23-03-2024,3542,Income,Housing,Payment for Mortgage
26-01-2024,2293,Expense,Insurance,Payment for Life Insurance
28-01-2023,83,Expense,Debt Payments,Payment for Loans
31-01-2023,1670,Expense,Personal Care,Payment for Gym Membership
17-03-2023,1946,Income,Groceries,Payment for Meat
30-01-2023,2505,Income,Entertainment,Payment for Streaming Services
22-08-2025,1850,Expense,Savings & Investments,Payment for Stocks
05-07-2024,4682,Income,Personal Care,Payment for Cosmetics
22-11-2024,2133,Expense,Travel,Payment for Flights
17-04-2023,1455,Expense,Debt Payments,Payment for Loans
02-10-2023,3738,Expense,Transportation,Payment for Fuel
03-12-2024,2702,Income,Personal Care,Payment for Cosmetics
14-12-2022,4588,Expense,Healthcare,Payment for Doctor Visits
26-11-2022,1236,Expense,Dining Out,Payment for Takeaway
03-12-2023,4183,Expense,Housing,Payment for Repairs
27-06-2024,2189,Expense,Housing,Payment for Property Tax
15-01-2023,2728,Income,Debt Payments,Payment for Credit Card
02-07-2025,3844,Income,Entertainment,Payment for Games
05-12-2022,2769,Income,Miscellaneous,Payment for Gifts
25-09-2025,4652,Expense,Savings & Investments,Payment for Mutual Funds
30-07-2023,2276,Income,Debt Payments,Payment for Loans
02-08-2024,2381,Expense,Clothing,Payment for Casual Wear
28-09-2023,4073,Expense,Transportation,Payment for Fuel
27-12-2024,4500,Income,Dining Out,Payment for Cafes
06-09-2023,3418,Income,Personal Care,Payment for Gym Membership
02-05-2025,4007,Expense,Miscellaneous,Payment for Donations
15-03-2025,537,Expense,Entertainment,Payment for Games
29-10-2024,328,Income,Travel,Payment for Sightseeing
04-09-2023,2641,Income,Utilities,Payment for Electricity
27-04-2025,699,Expense,Travel,Payment for Hotels
16-10-2023,3028,Income,Healthcare,Payment for Medicines
28-06-2025,404,Expense,Clothing,Payment for Shoes
25-07-2023,2292,Income,Savings & Investments,Payment for Mutual Funds
14-02-2023,4949,Expense,Savings & Investments,Payment for Fixed Deposits
22-09-2023,2530,Expense,Clothing,Payment for Shoes
11-01-2025,607,Expense,Groceries,Payment for Snacks
24-01-2024,3536,Expense,Insurance,Payment for Home Insurance
25-03-2025,211,Expense,Debt Payments,Payment for Credit Card
10-02-2025,748,Income,Groceries,Payment for Snacks
14-02-2023,2023,Income,Utilities,Payment for Phone
20-06-2025,3594,Expense,Entertainment,Payment for Streaming Services
07-12-2023,3827,Expense,Education,Payment for Courses
19-02-2024,2255,Expense,Miscellaneous,Payment for Donations
28-06-2023,541,Expense,Healthcare,Payment for Medicines
10-01-2023,2042,Expense,Entertainment,Payment for Movies
29-10-2024,1082,Expense,Transportation,Payment for Fuel
23-11-2024,3333,Expense,Healthcare,Payment for Medicines
12-03-2023,3560,Expense,Clothing,Payment for Formal Wear
23-06-2025,4969,Expense,Miscellaneous,Payment for Gifts
01-03-2024,4824,Expense,Insurance,Payment for Life Insurance
27-02-2024,835,Expense,Clothing,Payment for Casual Wear
16-07-2024,1883,Income,Transportation,Payment for Public Transport
02-06-2024,1041,Expense,Education,Payment for Stationery
11-03-2023,4256,Income,Utilities,Payment for Electricity
01-12-2022,1833,Expense,Groceries,Payment for Fruits
22-06-2023,1234,Income,Clothing,Payment for Casual Wear
01-06-2023,2511,Income,Education,Payment for Books
28-10-2023,1718,Expense,Dining Out,Payment for Restaurants
17-01-2024,2363,Expense,Miscellaneous,Payment for Gifts
01-06-2025,621,Expense,Insurance,Payment for Vehicle Insurance
07-08-2025,4350,Expense,Healthcare,Payment for Doctor Visits
08-04-2024,3788,Expense,Utilities,Payment for Internet
12-07-2025,633,Income,Entertainment,Payment for Movies
27-02-2025,2270,Expense,Education,Payment for Books
22-02-2023,357,Expense,Insurance,Payment for Life Insurance
25-07-2024,4595,Expense,Miscellaneous,Payment for Unexpected Expenses
09-06-2024,111,Expense,Utilities,Payment for Phone
26-12-2024,4620,Expense,Education,Payment for Stationery
08-02-2025,3838,Expense,Savings & Investments,Payment for Mutual Funds
02-05-2024,2183,Expense,Dining Out,Payment for Restaurants
17-07-2025,2009,Expense,Savings & Investments,Payment for Stocks
23-08-2024,2082,Expense,Housing,Payment for Rent
09-11-2023,3812,Expense,Transportation,Payment for Car Maintenance
01-11-2023,2836,Income,Housing,Payment for Rent
12-09-2024,1592,Expense,Utilities,Payment for Gas
01-09-2024,1725,Expense,Housing,Payment for Mortgage
28-10-2024,4671,Income,Education,Payment for Stationery
09-02-2024,83,Expense,Insurance,Payment for Life Insurance
29-05-2025,4011,Expense,Education,Payment for Courses
19-12-2022,2849,Expense,Housing,Payment for Property Tax
24-05-2024,1905,Expense,Transportation,Payment for Taxi
08-11-2024,3730,Expense,Travel,Payment for Hotels
19-03-2025,2735,Income,Travel,Payment for Local Transport
28-09-2023,1107,Expense,Travel,Payment for Sightseeing
10-03-2023,4551,Expense,Transportation,Payment for Taxi
04-09-2025,3011,Expense,Dining Out,Payment for Cafes
21-02-2024,4438,Income,Education,Payment for Courses
22-01-2023,2677,Income,Utilities,Payment for Electricity
26-04-2025,3870,Expense,Healthcare,Payment for Doctor Visits
31-08-2023,3207,Expense,Transportation,Payment for Fuel
25-02-2025,3693,Expense,Personal Care,Payment for Salon
04-10-2024,3812,Expense,Transportation,Payment for Car Maintenance
15-01-2025,2181,Expense,Debt Payments,Payment for Loans
22-02-2023,656,Expense,Dining Out,Payment for Takeaway
15-12-2023,2405,Expense,Healthcare,Payment for Doctor Visits
12-01-2025,2349,Income,Groceries,Payment for Meat
31-07-2025,3966,Expense,Personal Care,Payment for Gym Membership
28-04-2025,4325,Expense,Debt Payments,Payment for Credit Card
12-07-2023,1383,Expense,Miscellaneous,Payment for Unexpected Expenses
17-09-2024,4058,Expense,Transportation,Payment for Fuel
21-01-2024,2523,Expense,Housing,Payment for Property Tax
20-10-2022,3607,Expense,Education,Payment for Tuition
11-08-2024,3783,Expense,Insurance,Payment for Life Insurance
22-03-2025,2136,Expense,Savings & Investments,Payment for Stocks
14-08-2023,3400,Expense,Miscellaneous,Payment for Unexpected Expenses
01-02-2023,4961,Expense,Personal Care,Payment for Gym Membership
02-07-2023,425,Expense,Transportation,Payment for Taxi
10-04-2023,2002,Expense,Education,Payment for Tuition
24-08-2024,3760,Expense,Utilities,Payment for Gas
24-11-2022,2138,Income,Healthcare,Payment for Doctor
17-10-2022,1743,Expense,Insurance,Payment for Vehicle Insurance
19-06-2023,3605,Expense,Clothing,Payment for Shoes
30-11-2024,4330,Expense,Dining Out,Payment for Cafes
19-01-2023,121,Income,Groceries,Payment for Meat
23-03-2024,1824,Expense,Housing,Payment for Mortgage
06-07-2024,623,Income,Personal Care,Payment for Gym Membership
29-04-2024,4714,Expense,Groceries,Payment for Vegetables
21-09-2025,4116,Expense,Dining Out,Payment for Cafes
23-10-2022,3757,Expense,Insurance,Payment for Home Insurance
29-09-2022,202,Income,Groceries,Payment for Snacks
27-03-2025,778,Income,Healthcare,Payment for Doctor
16-02-2023,2329,Income,Utilities,Payment for Electricity
07-07-2024,1602,Income,Miscellaneous,Payment for Donations
04-04-2023,3713,Expense,Housing,Payment for Repairs
17-04-2023,3617,Expense,Insurance,Payment for Life Insurance
12-06-2023,4321,Expense,Personal Care,Payment for Salon
28-03-2024,4394,Expense,Miscellaneous,Payment for Unexpected Expenses
10-04-2023,3156,Income,Travel,Payment for Sightseeing
31-08-2024,4946,Income,Healthcare,Payment for Doctor
08-12-2024,1049,Income,Healthcare,Payment for Medicines
27-04-2025,1184,Expense,Education,Payment for Stationery
16-11-2023,4792,Expense,Utilities,Payment for Gas
26-03-2025,3195,Income,Clothing,Payment for Formal Wear
04-04-2023,2765,Income,Utilities,Payment for Internet
12-11-2022,403,Expense,Utilities,Payment for Gas
20-12-2022,1352,Expense,Debt Payments,Payment for Credit Card
21-09-2023,4132,Expense,Miscellaneous,Payment for Unexpected Expenses
22-09-2025,3781,Expense,Healthcare,Payment for Doctor
21-04-2025,4671,Income,Clothing,Payment for Shoes
08-10-2023,559,Expense,Transportation,Payment for Public Transport
09-03-2023,1587,Expense,Education,Payment for Courses
16-08-2023,227,Expense,Utilities,Payment for Electricity
22-12-2023,2426,Expense,Travel,Payment for Flights
31-07-2025,850,Expense,Savings & Investments,Payment for Stocks
31-03-2023,3293,Income,Transportation,Payment for Public Transport
17-01-2023,3716,Expense,Miscellaneous,Payment for Donations
18-02-2024,987,Income,Debt Payments,Payment for EMI
20-07-2023,3077,Income,Clothing,Payment for Shoes
20-03-2025,2070,Expense,Miscellaneous,Payment for Gifts
29-05-2025,2832,Income,Utilities,Payment for Electricity
21-06-2024,3590,Expense,Housing,Payment for Repairs
14-08-2025,2024,Expense,Transportation,Payment for Fuel
30-09-2024,1568,Income,Miscellaneous,Payment for Unexpected Expenses
15-08-2023,2719,Expense,Transportation,Payment for Public Transport
29-03-2025,1308,Expense,Housing,Payment for Repairs
09-12-2023,3160,Expense,Transportation,Payment for Car Maintenance
17-11-2024,1292,Expense,Miscellaneous,Payment for Unexpected Expenses
09-09-2025,2803,Expense,Groceries,Payment for Dairy
23-09-2024,2725,Expense,Savings & Investments,Payment for Mutual Funds
29-10-2022,3722,Expense,Utilities,Payment for Gas
31-08-2023,469,Expense,Savings & Investments,Payment for Fixed Deposits
30-03-2023,702,Expense,Personal Care,Payment for Gym Membership
10-08-2025,2921,Expense,Miscellaneous,Payment for Donations
25-03-2024,3295,Income,Transportation,Payment for Taxi
28-07-2025,4959,Expense,Dining Out,Payment for Takeaway
19-07-2024,917,Expense,Entertainment,Payment for Streaming Services
07-03-2023,4258,Expense,Clothing,Payment for Accessories
01-08-2025,3037,Expense,Dining Out,Payment for Restaurants
14-11-2023,223,Income,Housing,Payment for Mortgage
06-07-2025,4782,Income,Debt Payments,Payment for Loans
20-11-2022,1609,Income,Utilities,Payment for Gas
10-11-2023,4177,Income,Debt Payments,Payment for Credit Card
22-01-2025,4642,Expense,Utilities,Payment for Phone
09-08-2025,2292,Expense,Debt Payments,Payment for EMI
17-08-2025,4673,Expense,Dining Out,Payment for Restaurants
31-08-2024,2538,Income,Debt Payments,Payment for Loans
15-06-2023,1562,Expense,Transportation,Payment for Taxi
15-09-2025,2821,Expense,Clothing,Payment for Formal Wear
12-11-2024,1693,Expense,Utilities,Payment for Electricity
30-07-2025,73,Expense,Travel,Payment for Local Transport
25-01-2025,2387,Income,Transportation,Payment for Fuel
17-09-2023,2993,Expense,Savings & Investments,Payment for Fixed Deposits
17-02-2025,4449,Expense,Savings & Investments,Payment for Fixed Deposits
15-06-2025,4776,Income,Miscellaneous,Payment for Gifts
12-07-2025,1766,Income,Miscellaneous,Payment for Gifts
19-07-2023,4183,Income,Housing,Payment for Rent
25-04-2023,794,Income,Groceries,Payment for Vegetables
24-12-2024,4227,Expense,Education,Payment for Books
23-10-2023,99,Expense,Clothing,Payment for Formal Wear
19-08-2023,3099,Income,Insurance,Payment for Home Insurance
25-04-2025,2792,Expense,Housing,Payment for Property Tax
05-03-2025,3939,Expense,Miscellaneous,Payment for Donations
27-07-2024,1672,Income,Healthcare,Payment for Doctor Visits
22-06-2024,3447,Income,Debt Payments,Payment for EMI
27-04-2024,1837,Income,Utilities,Payment for Internet
12-02-2023,3405,Expense,Entertainment,Payment for Streaming Services
30-11-2023,1063,Income,Transportation,Payment for Fuel
01-06-2024,203,Expense,Healthcare,Payment for Doctor Visits
27-03-2025,2951,Expense,Dining Out,Payment for Restaurants
25-12-2024,2364,Expense,Utilities,Payment for Gas
16-02-2023,3506,Income,Groceries,Payment for Snacks
24-03-2023,2352,Expense,Insurance,Payment for Life Insurance
14-04-2023,4316,Expense,Healthcare,Payment for Health Insurance
13-06-2024,4063,Expense,Personal Care,Payment for Salon
19-08-2024,666,Expense,Transportation,Payment for Taxi
03-11-2023,3099,Expense,Healthcare,Payment for Health Insurance
12-01-2024,4693,Expense,Groceries,Payment for Fruits
04-05-2023,1975,Expense,Savings & Investments,Payment for Fixed Deposits
14-04-2025,2507,Expense,Debt Payments,Payment for EMI
21-06-2024,1661,Income,Clothing,Payment for Formal Wear
06-05-2025,4291,Expense,Dining Out,Payment for Cafes
22-03-2025,3159,Expense,Travel,Payment for Hotels
22-03-2023,2587,Expense,Education,Payment for Tuition
21-10-2022,4407,Income,Miscellaneous,Payment for Unexpected Expenses
21-05-2023,1677,Expense,Travel,Payment for Local Transport
31-07-2025,4490,Expense,Housing,Payment for Property Tax
14-04-2025,2048,Income,Transportation,Payment for Fuel
04-03-2024,2976,Income,Entertainment,Payment for Streaming Services
03-12-2023,1181,Expense,Personal Care,Payment for Gym Membership
29-11-2024,2042,Expense,Healthcare,Payment for Medicines
14-03-2024,563,Expense,Transportation,Payment for Taxi
03-06-2025,762,Income,Clothing,Payment for Accessories
16-12-2024,3211,Expense,Dining Out,Payment for Restaurants
29-03-2025,264,Expense,Miscellaneous,Payment for Gifts
15-02-2025,653,Expense,Groceries,Payment for Meat
21-03-2024,3819,Expense,Travel,Payment for Flights
18-07-2025,4917,Expense,Education,Payment for Stationery
13-05-2023,719,Expense,Debt Payments,Payment for EMI
17-02-2025,1130,Income,Travel,Payment for Flights
08-03-2025,4704,Expense,Travel,Payment for Local Transport
31-07-2025,1475,Expense,Debt Payments,Payment for Credit Card
26-04-2023,2319,Expense,Transportation,Payment for Public Transport
08-10-2024,524,Expense,Entertainment,Payment for Streaming Services
30-10-2023,1181,Expense,Housing,Payment for Repairs
29-10-2022,912,Income,Housing,Payment for Repairs
14-03-2025,861,Income,Travel,Payment for Hotels
08-07-2024,4322,Expense,Miscellaneous,Payment for Gifts
23-08-2023,536,Expense,Debt Payments,Payment for Loans
07-05-2025,741,Expense,Debt Payments,Payment for Credit Card
10-06-2024,3158,Income,Education,Payment for Tuition
09-03-2023,2672,Expense,Personal Care,Payment for Salon
12-11-2024,317,Income,Insurance,Payment for Life Insurance
29-06-2023,834,Income,Savings & Investments,Payment for Mutual Funds
21-07-2025,3923,Expense,Savings & Investments,Payment for Stocks
15-08-2025,3021,Expense,Travel,Payment for Local Transport
20-08-2023,2451,Expense,Entertainment,Payment for Concerts
25-04-2025,4959,Income,Savings & Investments,Payment for Fixed Deposits
21-03-2024,3391,Expense,Clothing,Payment for Shoes
29-01-2024,3121,Expense,Miscellaneous,Payment for Unexpected Expenses
28-12-2024,2366,Expense,Entertainment,Payment for Concerts
21-09-2025,1251,Expense,Clothing,Payment for Accessories
19-09-2023,326,Expense,Personal Care,Payment for Salon
21-05-2023,356,Expense,Travel,Payment for Flights
13-05-2023,680,Expense,Clothing,Payment for Shoes
16-11-2022,2635,Expense,Travel,Payment for Flights
24-01-2023,1187,Income,Travel,Payment for Flights
21-11-2022,2231,Expense,Dining Out,Payment for Cafes
15-04-2024,1763,Income,Entertainment,Payment for Movies
31-08-2025,1098,Income,Debt Payments,Payment for Credit Card
20-11-2022,1633,Income,Groceries,Payment for Vegetables
08-04-2024,3401,Expense,Insurance,Payment for Life Insurance
12-02-2025,4958,Expense,Travel,Payment for Local Transport
31-10-2023,1884,Expense,Groceries,Payment for Vegetables
03-08-2024,1001,Expense,Insurance,Payment for Life Insurance
20-10-2023,2082,Income,Healthcare,Payment for Health Insurance
17-01-2023,1274,Expense,Entertainment,Payment for Movies
03-06-2024,82,Income,Savings & Investments,Payment for Stocks
15-10-2022,146,Expense,Debt Payments,Payment for EMI
28-02-2025,4408,Expense,Personal Care,Payment for Cosmetics
22-03-2024,3191,Income,Entertainment,Payment for Games
18-03-2023,2827,Income,Housing,Payment for Property Tax
11-11-2023,3328,Expense,Dining Out,Payment for Takeaway
07-10-2024,221,Expense,Housing,Payment for Mortgage
02-02-2025,4903,Expense,Savings & Investments,Payment for Mutual Funds
16-05-2023,950,Expense,Travel,Payment for Hotels
25-01-2023,4416,Expense,Insurance,Payment for Vehicle Insurance
20-11-2024,791,Expense,Transportation,Payment for Taxi
06-01-2024,2664,Income,Utilities,Payment for Internet
10-01-2023,1972,Income,Healthcare,Payment for Doctor
26-08-2024,2747,Expense,Education,Payment for Stationery
22-03-2023,440,Expense,Transportation,Payment for Car Maintenance
12-10-2024,1008,Income,Travel,Payment for Hotels
24-07-2024,4720,Income,Debt Payments,Payment for Credit Card
31-10-2022,393,Income,Savings & Investments,Payment for Stocks
22-11-2022,3531,Income,Transportation,Payment for Fuel
29-02-2024,1619,Income,Entertainment,Payment for Streaming Services
23-10-2024,505,Expense,Insurance,Payment for Home Insurance
10-10-2022,493,Expense,Transportation,Payment for Taxi
17-09-2024,4342,Expense,Utilities,Payment for Internet
05-04-2024,2965,Expense,Transportation,Payment for Car Maintenance
06-10-2023,2460,Expense,Entertainment,Payment for Streaming Services
25-01-2024,3531,Expense,Housing,Payment for Mortgage
28-05-2025,1467,Expense,Miscellaneous,Payment for Donations
12-06-2024,720,Expense,Transportation,Payment for Car Maintenance
01-08-2023,2334,Expense,Education,Payment for Books
29-12-2023,4606,Expense,Dining Out,Payment for Restaurants
07-03-2023,149,Expense,Dining Out,Payment for Cafes
25-08-2023,2837,Expense,Savings & Investments,Payment for Mutual Funds
12-11-2024,457,Expense,Clothing,Payment for Accessories
11-05-2023,1027,Expense,Healthcare,Payment for Medicines
07-06-2025,2848,Income,Travel,Payment for Hotels
26-09-2024,192,Expense,Utilities,Payment for Electricity
01-09-2025,3126,Expense,Groceries,Payment for Dairy
15-09-2025,769,Income,Utilities,Payment for Phone
03-07-2024,1509,Expense,Clothing,Payment for Accessories
05-06-2024,467,Expense,Education,Payment for Stationery
11-04-2023,1154,Income,Travel,Payment for Hotels
30-01-2024,594,Expense,Insurance,Payment for Vehicle Insurance
04-03-2023,3338,Income,Debt Payments,Payment for Credit Card
30-05-2024,822,Expense,Housing,Payment for Mortgage
14-11-2023,1743,Expense,Groceries,Payment for Meat
12-01-2024,1118,Expense,Entertainment,Payment for Concerts
26-02-2024,3753,Expense,Entertainment,Payment for Movies
26-10-2023,4273,Expense,Healthcare,Payment for Doctor Visits
20-06-2024,1623,Expense,Groceries,Payment for Vegetables
28-05-2024,3843,Expense,Savings & Investments,Payment for Stocks
04-06-2025,2703,Expense,Miscellaneous,Payment for Unexpected Expenses
06-12-2023,590,Expense,Entertainment,Payment for Concerts
21-03-2024,2261,Expense,Healthcare,Payment for Medicines
03-07-2023,2746,Income,Education,Payment for Stationery
19-05-2023,1608,Expense,Groceries,Payment for Meat
25-09-2023,180,Income,Education,Payment for Courses
24-10-2022,2793,Expense,Entertainment,Payment for Movies
12-08-2025,4649,Expense,Travel,Payment for Sightseeing
17-02-2024,3870,Income,Dining Out,Payment for Cafes
22-06-2023,2281,Income,Utilities,Payment for Water
02-01-2024,875,Income,Utilities,Payment for Water
28-12-2023,2768,Expense,Travel,Payment for Flights
24-09-2025,1072,Expense,Education,Payment for Courses
01-07-2025,2651,Expense,Dining Out,Payment for Restaurants
07-02-2025,4276,Expense,Healthcare,Payment for Medicines
01-02-2024,746,Income,Travel,Payment for Sightseeing
05-09-2025,1087,Expense,Housing,Payment for Rent
14-04-2024,863,Expense,Insurance,Payment for Life Insurance
02-05-2023,3887,Expense,Housing,Payment for Rent
09-04-2024,708,Income,Personal Care,Payment for Cosmetics
06-03-2023,2477,Expense,Clothing,Payment for Accessories
30-01-2024,1133,Expense,Transportation,Payment for Fuel
14-08-2024,3024,Expense,Debt Payments,Payment for Credit Card
30-11-2024,1233,Expense,Personal Care,Payment for Cosmetics
03-10-2022,2674,Expense,Housing,Payment for Property Tax
24-09-2023,2782,Expense,Insurance,Payment for Home Insurance
31-12-2023,2047,Income,Dining Out,Payment for Cafes
03-06-2023,2061,Expense,Utilities,Payment for Internet
01-05-2025,1298,Expense,Debt Payments,Payment for EMI
24-11-2023,3786,Income,Utilities,Payment for Phone
13-10-2022,2463,Expense,Housing,Payment for Property Tax
03-10-2024,4393,Expense,Housing,Payment for Mortgage
02-07-2023,61,Expense,Clothing,Payment for Accessories
25-12-2023,2060,Expense,Savings & Investments,Payment for Fixed Deposits
18-05-2024,3657,Expense,Housing,Payment for Repairs
18-12-2023,786,Expense,Education,Payment for Books
26-04-2023,559,Income,Debt Payments,Payment for Loans
11-09-2024,1318,Expense,Entertainment,Payment for Concerts
27-07-2023,4316,Income,Transportation,Payment for Public Transport
01-10-2022,4866,Income,Healthcare,Payment for Doctor Visits
14-06-2025,3092,Expense,Transportation,Payment for Fuel
01-03-2024,4960,Expense,Transportation,Payment for Fuel
03-02-2024,1108,Expense,Personal Care,Payment for Cosmetics
09-06-2024,4350,Income,Miscellaneous,Payment for Donations
25-08-2023,939,Expense,Miscellaneous,Payment for Gifts
27-08-2023,3002,Income,Housing,Payment for Repairs
17-11-2022,3387,Expense,Education,Payment for Tuition
07-02-2025,3731,Expense,Travel,Payment for Hotels
27-06-2023,2794,Income,Personal Care,Payment for Gym Membership
30-04-2024,4895,Expense,Travel,Payment for Hotels
10-04-2024,1558,Income,Personal Care,Payment for Gym Membership
24-08-2024,3387,Expense,Entertainment,Payment for Concerts
18-12-2023,3083,Expense,Entertainment,Payment for Movies
11-07-2025,1817,Expense,Dining Out,Payment for Cafes
20-09-2023,1182,Expense,Entertainment,Payment for Movies
29-06-2023,1251,Expense,Education,Payment for Courses
06-08-2025,298,Income,Debt Payments,Payment for Credit Card
05-08-2023,1945,Income,Miscellaneous,Payment for Unexpected Expenses
14-02-2025,279,Expense,Dining Out,Payment for Cafes
02-03-2025,2725,Expense,Groceries,Payment for Snacks
01-03-2023,1334,Income,Clothing,Payment for Shoes
09-06-2024,2925,Expense,Groceries,Payment for Dairy
27-02-2025,370,Expense,Transportation,Payment for Taxi
03-12-2024,77,Expense,Savings & Investments,Payment for Fixed Deposits
